#1:t	2:m	3:min_gap
1.3	0.5	0.166431
1.32	0.5	0.129705
1.34	0.5	0.0931536
1.36	0.5	0.0567751
1.38	0.5	0.0205682
1.4	0.5	0.0154881
1.42	0.5	0.0513649
1.44	0.5	0.0870859
1.46	0.5	0.122651
1.48	0.5	0.158062
1.5	0.5	0.193322
1.52	0.5	0.228434
1.54	0.5	0.2634
1.56	0.5	0.298224
1.58	0.5	0.332908
1.6	0.5	0.367455
1.62	0.5	0.401866
1.64	0.5	0.436145
1.66	0.5	0.470295
1.68	0.5	0.504316
1.7	0.5	0.538213
1.72	0.5	0.571987
1.74	0.5	0.60564
1.76	0.5	0.639175
